FID,Fuel_Type,Latitude,Longitude
181,ELEC,34.268,-119.2492
182,ELEC,33.918907,-118.424235
183,ELEC,34.088742,-117.953969
184,ELEC,33.923723,-118.167863
185,ELEC,34.112343,-118.003139
186,ELEC,33.930555,-118.174842
187,ELEC,34.175022,-118.861008
188,ELEC,34.183786,-118.875573
189,ELEC,34.20829,-118.941
190,ELEC,34.100913,-118.004762
191,ELEC,34.084833,-117.958683
192,HY,33.842773,-118.313873
193,LPG,34.952567,-120.41599
194,CNG,33.89486,-118.116177
195,LNG,34.029682,-118.012017
196,LNG,33.834794,-118.234837
197,LNG,34.105713,-117.97133
198,LNG,34.230617,-118.549201
199,LNG,34.014486,-118.487477
200,LNG,33.805153,-118.158724
201,LNG,34.567439,-118.147617
202,LNG,34.238744,-118.370919
203,ELEC,33.700243,-117.94015
204,ELEC,33.65315,-117.9938
205,ELEC,34.124432,-117.932243
206,ELEC,33.7637,-118.192
207,ELEC,33.767411,-118.199337
208,ELEC,34.060464,-118.418674
209,ELEC,33.946207,-118.3816
210,ELEC,33.94466,-118.398227
211,ELEC,33.615861,-117.871188
212,ELEC,34.239137,-118.553631
213,ELEC,34.22935,-119.173
214,ELEC,34.020478,-118.448757
215,ELEC,33.99868,-118.479734
216,ELEC,34.156143,-118.432204
217,ELEC,34.175574,-118.847982
218,ELEC,34.140601,-118.3518
219,ELEC,34.209789,-118.44861
220,ELEC,34.062928,-118.350951
221,ELEC,33.948468,-118.157151
222,ELEC,33.616697,-117.929708
223,ELEC,34.698596,-118.144713
224,ELEC,20.005875,-155.823662
225,ELEC,34.696792,-118.136667
226,ELEC,21.874944,-159.456719
227,CNG,33.693799,-117.93665
228,ELEC,21.877306,-159.462211
229,CNG,34.074496,-118.030858
230,ELEC,20.926813,-156.694599
231,ELEC,20.919806,-156.694844
232,CNG,34.026205,-118.469129
233,ELEC,21.638918,-157.919377
234,CNG,33.954916,-118.044838
235,ELEC,21.974619,-159.367789
236,CNG,35.199956,-118.825454
237,ELEC,21.961384,-159.351878
238,CNG,34.421575,-119.683965
239,ELEC,21.968054,-159.356942
